word,freq_rank,log_freq,concreteness,is_stimulus,pos
credit,729,-2.863322860120456,,False,noun
couple,731,-2.864511081058392,,False,noun
industry,732,-2.8651039746411278,,False,noun
age,736,-2.8674674878590514,,False,noun
air,737,-2.8680563618230415,,False,noun
five,739,-2.8692317197309762,,False,noun
street,745,-2.8727388274726686,,False,noun
study,746,-2.873320601815399,,False,noun
space,751,-2.876217840591642,,False,noun
photo,752,-2.8767949762007006,,False,noun
matter,755,-2.8785217955012063,,False,noun
david,758,-2.88024177589548,,False,noun
image,761,-2.8819549713396007,,False,noun
performance,762,-2.8825245379548803,,False,noun
medium,763,-2.8830933585756897,,False,noun
girl,771,-2.887617300335736,,False,noun
style,772,-2.888179493918325,,False,noun
london,773,-2.8887409606828927,,False,noun
energy,779,-2.8920946026904804,,False,noun
technology,785,-2.895422546039408,,False,noun
action,789,-2.8976270912904414,,False,noun
rate,791,-2.8987251815894934,,False,noun
google,793,-2.8998205024270964,,False,noun
insurance,796,-2.9014583213961123,,False,noun
code,799,-2.9030899869919438,,False,noun
sunday,806,-2.90687353472207,,False,noun
stuff,808,-2.9079485216122722,,False,noun
saturday,814,-2.9111576087399764,,False,noun
california,818,-2.9132839017604186,,False,noun
guy,824,-2.916453948549925,,False,noun
amount,828,-2.9185545305502734,,False,noun
store,829,-2.9190780923760737,,False,noun
position,833,-2.921166050637739,,False,noun
interest,836,-2.92272545799326,,False,noun
red,837,-2.9232440186302764,,False,noun
yes,844,-2.926856708949692,,False,noun
item,847,-2.9283958522567137,,False,noun
percent,851,-2.9304395947667,,False,noun
picture,859,-2.934498451243568,,False,noun
cause,860,-2.935003151453655,,False,noun
favorite,865,-2.937517892017347,,False,noun
color,866,-2.9380190974762104,,False,noun
paper,872,-2.9410142437055695,,False,noun
morning,884,-2.9469432706978256,,False,noun
model,885,-2.9474337218870508,,False,noun
user,887,-2.948412965778601,,False,noun
usa,888,-2.9489017609702137,,False,noun
jan,893,-2.951337518795918,,False,noun
lead,896,-2.952792443044092,,False,noun
security,898,-2.9537596917332287,,False,noun
application,899,-2.9542425094393248,,False,noun
staff,903,-2.9561684304753633,,False,noun
period,906,-2.957607287060095,,False,noun
account,907,-2.958085848521085,,False,noun
third,910,-2.9595183769729982,,False,noun
college,911,-2.959994838328416,,False,noun
addition,914,-2.9614210940664485,,False,noun
washington,916,-2.962369335670021,,False,noun
subject,917,-2.9628426812012423,,False,noun
record,918,-2.9633155113861114,,False,noun
monday,922,-2.965201701025912,,False,noun
hair,924,-2.9661417327390325,,False,noun
president,925,-2.966610986681934,,False,noun
james,929,-2.9684829485539352,,False,noun
source,932,-2.9698816437465,,False,noun
customer,937,-2.9722028383790646,,False,noun
sense,938,-2.972665592266111,,False,noun
weight,943,-2.974971994298069,,False,noun
green,949,-2.9777236052888476,,False,noun
oil,950,-2.978180516937414,,False,noun
player,952,-2.979092900638326,,False,noun
east,954,-2.9800033715837464,,False,noun
road,955,-2.9804578922761,,False,noun
death,959,-2.9822712330395684,,False,noun
network,966,-2.9854264740830017,,False,noun
education,968,-2.986323777050765,,False,noun
treatment,972,-2.988112840268352,,False,noun
paul,975,-2.9894498176666917,,False,noun
baby,979,-2.9912260756924947,,False,noun
section,984,-2.9934362304976116,,False,noun
choice,991,-2.9965116721541785,,False,noun
feb,993,-2.997386384397313,,False,noun
christmas,994,-2.9978230807457256,,False,noun
michael,1000,-3.000434077479319,,False,noun
china,1002,-3.0013009330204183,,False,noun
increase,1007,-3.0034605321095067,,False,noun
chance,1008,-3.0038911662369103,,False,noun
worth,1016,-3.0073209529227447,,False,noun
department,1017,-3.00774777800074,,False,noun
thursday,1019,-3.0086001717619175,,False,noun
release,1020,-3.0090257420869104,,False,noun
