bin_index,time_s,mean,sem,count,family,diff,p_one,q,significant
23,1.3,0.11523072743873124,0.01754927596709857,12,language,0.010698444209043626,0.0018164660939017844,0.008411952658140242,True
24,1.4,0.09855894072454617,0.016521378346156867,12,language,0.013112476835936268,8.474201118121423e-07,1.6948402236242846e-05,True
25,1.5,0.08048376232494647,0.014702338912150127,12,language,0.007063350844097277,0.023652774611433027,0.047305549222866054,True
26,1.6,0.07063549603170692,0.014171149345688366,12,language,0.006154723053015974,0.0452633302042207,0.07242132832675312,False
27,1.7,0.0591949072016533,0.012437116921633296,12,language,0.0034729916746078886,0.16370812159258474,0.20463515199073093,False
28,1.8,0.05201994215347552,0.01238386546981585,12,language,0.006147659163822482,0.05207180616039016,0.07827853385250576,False
29,1.9,0.04624875228103983,0.011595506331615421,12,language,0.004716192940782912,0.14759880390691954,0.19045006955731553,False
30,2.0,0.040380660928545815,0.00993665262763793,12,language,-0.00023029629047485156,0.5259473092999687,0.553628746631546,False
31,2.1,0.03927052760409485,0.009710587529673824,12,language,0.0016324033059255984,0.3521358373636452,0.40244095698702304,False
32,2.2,0.038460690435192686,0.0090198136788751,12,language,0.0004390887517643702,0.45275413046381535,0.4894639248257463,False
33,2.3,0.03479475354202057,0.009420604534733,12,language,0.0006021113290106671,0.4449239186536049,0.4894639248257463,False
34,2.4,0.03115264880722068,0.008107753827656808,12,language,0.0028873076415889,0.20789717868527396,0.24458491610032232,False
35,2.5,0.028938922175301512,0.007925432344192568,12,language,0.004432326210013083,0.11383124103168252,0.15177498804224335,False
36,2.6,0.02646092356105689,0.008001915859152062,12,language,0.0054760426334145755,0.03431462177291225,0.057191036288187086,False
37,2.7,0.025334581530134445,0.006958482131824223,12,language,0.005032389551474686,0.0308368421649217,0.05606698575440309,False
38,2.8,0.026743580223529045,0.006852705004367519,12,language,0.0077576340024013805,0.003025472549868799,0.011001718363159267,True
39,2.9,0.021436250913145386,0.006614847308203787,12,language,0.004551831568080939,0.03044696791562112,0.05606698575440309,False
40,3.0,0.02210826593377732,0.006093137371080862,12,language,0.007170159674248635,0.0035276999244464474,0.011758999748154825,True
41,3.1,0.023489407952457242,0.006508188060196436,12,language,0.009443612134840034,0.00031317044931144947,0.002451808724026804,True
42,3.2,0.023874817731092762,0.006286054154563287,12,language,0.007898646537521476,3.374743135725363e-05,0.00044996575143004837,True
43,3.3,0.023467734990582783,0.006180546717653091,12,language,0.005157849086861389,0.010103373271001585,0.028521152329055017,True
44,3.4,0.024742932421891056,0.005886962755658301,12,language,0.005757205908269294,0.013820774962963028,0.03071283325102895,True
45,3.5,0.02491188504116168,0.006633387247258687,12,language,0.007302204721872103,0.0006455697828291754,0.0036889701875952884,True
46,3.6,0.022914311661231177,0.0062335055989324005,12,language,0.0057504771140992035,0.018965201039915343,0.039926739031400725,True
47,3.7,0.020316123589857533,0.005630938469046785,12,language,0.003309477332779294,0.07707476542556531,0.10631002127664181,False
48,3.8,0.019532165118843606,0.0050902013385267595,12,language,0.005215642416989632,3.146731291378038e-08,1.2586925165512152e-06,True
49,3.9,0.019374440859292713,0.005271629296409299,12,language,0.005936331886308997,0.010974197314663571,0.028521152329055017,True
0,-1.0,0.002111435427040962,0.003054959394877134,12,vision,0.0010097866905648609,0.32909035813620047,,False
1,-0.9,0.0008491135007193002,0.0029655123577087858,12,vision,-0.002217273860535298,0.8538815697157172,,False
2,-0.8,0.0022716690380212984,0.0025789267968163404,12,vision,-0.001838004175025237,0.707746795589422,,False
3,-0.7,0.0005770499260800583,0.0032165970399301493,12,vision,0.0017292945893090383,0.2289785833809374,,False
4,-0.6,0.0028373631456034437,0.003016616203869782,12,vision,-0.0006372362520946558,0.6007755638421031,,False
5,-0.5,0.005898506705299147,0.0030417862176305983,12,vision,-0.000768360064182789,0.6717322613970782,,False
6,-0.4,0.0075746732361980885,0.0031883068280657524,12,vision,-0.0018311582018270013,0.7658339493668548,,False
7,-0.3,0.005463855475409954,0.0027414532767081317,12,vision,-0.00025919177420518036,0.5392571541812392,,False
8,-0.2,0.005953339023053413,0.002314108678130047,12,vision,-0.001210311337039875,0.7209079569374437,,False
9,-0.1,0.008167101032691632,0.0028766668492455822,12,vision,-0.0024961158235217245,0.8833553574187302,,False
10,0.0,0.005083190552570977,0.003079099540991583,12,vision,-0.002057460015766021,0.8155244235043659,0.8155244235043659,False
11,0.1,0.0037457562193490804,0.0036766185635735728,12,vision,-0.0004250979392377916,0.5530721147520197,0.5672534510277125,False
12,0.2,0.01920939657371609,0.006293241846783214,12,vision,0.0026648637320729556,0.19958087425436882,0.24191621121741677,False
13,0.3,0.04736427918750482,0.010914757172275963,12,vision,0.003783141021922764,0.032866322666973466,0.05715882202951907,False
14,0.4,0.07459010919604071,0.014474629997289825,12,vision,0.00565654706480809,0.002752074151187166,0.011001718363159267,True
15,0.5,0.09343701788851409,0.01601446700384291,12,vision,0.00626508693564029,0.011408460931622007,0.028521152329055017,True
16,0.6,0.10369869419205091,0.01643401034460041,12,vision,0.007040466670858436,0.05283801035044139,0.07827853385250576,False
17,0.7,0.11086356059283453,0.01759224521661949,12,vision,0.00907742118115443,0.012985918189119216,0.03055510162145698,True
18,0.8,0.11652567946204788,0.017678533741220557,12,vision,0.006432699505467123,0.05965481015497713,0.08522115736425305,False
19,0.9,0.11904292897462702,0.017025656128064264,12,vision,0.010578736232207892,0.00029780284398227996,0.002451808724026804,True
20,1.0,0.11978395843778201,0.017891864456974306,12,vision,0.009369247763987433,0.0018926893480815546,0.008411952658140242,True
21,1.1,0.12325451629243972,0.017670025820941807,12,vision,0.010132181141609476,0.00036777130860402057,0.002451808724026804,True
22,1.2,0.11835590159938948,0.017377973497971044,12,vision,0.009260866859040925,0.004749228621429907,0.014613011142861251,True
23,1.3,0.10453228322968762,0.015538647931019752,12,vision,0.010698444209043626,0.0018164660939017844,0.008411952658140242,True
