bin_index,time_s,mean,sem,count,family,diff,p_one,q,significant
47,4.2,0.005891471373566354,0.004281867032846525,13,language,0.0046090817914350955,0.0036795856210159144,0.0057097018257143495,True
48,4.3,0.004994060870155929,0.0038820642569170473,13,language,0.0040272925843842875,0.005686359327917728,0.007996442804884304,True
49,4.4,0.004598729540442117,0.003428169850157638,13,language,0.0039402436416336225,0.008060674206753486,0.010668539391291379,True
0,-0.5,-0.0018564338950031543,0.0017031808824917612,14,vision,0.002064396916909312,0.0016699856207578686,,False
1,-0.4,-0.0022638541318127773,0.0019328884141750066,14,vision,4.9988669633426525e-05,0.4730794288589426,,False
2,-0.3,-0.003960254311005191,0.0023741147527832863,14,vision,0.00045112826202015847,0.29563565621902366,,False
3,-0.2,-0.005380834021574747,0.002748400405540921,14,vision,-0.0006123639158148219,0.7067291023103907,,False
4,-0.1,-0.006194043564620111,0.0027385383698718133,14,vision,-0.0016265975600026975,0.9159331457281428,,False
5,0.0,-0.003910721020040151,0.003006491112543029,14,vision,-0.0003273115297477923,0.5964130115259948,0.6545996467968236,False
6,0.1,-0.0043349076201477385,0.0027709410130116138,14,vision,-3.4021767300963495e-05,0.5100676672537734,0.5885396160620462,False
7,0.2,-0.005203462680052687,0.0025596295572842404,14,vision,-0.000564248656258066,0.6905392243006253,0.7226573277564683,False
8,0.3,-0.003998174935222532,0.0022912357027551344,14,vision,-0.0007832974526913972,0.752816684184379,0.7699261542794785,False
9,0.4,-0.004257041534321672,0.0024415173336691885,14,vision,-0.0003221480488856437,0.6130602725256817,0.6568502919918019,False
10,0.5,-0.004160593679349232,0.0021260020723578386,14,vision,-7.266158250503642e-05,0.5270205808317678,0.5928981534357388,False
11,0.6,-0.003571418744069597,0.001988863601107599,14,vision,-0.0009440273462434281,0.8190636566415973,0.8190636566415973,False
12,0.7,0.004944936276280824,0.0024813738141521414,14,vision,0.004164568797586092,0.004253737690657649,0.006174780518696587,True
13,0.8,0.01499896555200575,0.0037265351118912636,14,vision,0.009786005962028194,1.4574841456929098e-07,3.6437103642322745e-07,True
14,0.9,0.02152280832765501,0.003934836546450072,14,vision,0.01322718504077564,2.1348210251558414e-13,1.372384944743041e-12,True
15,1.0,0.02633850103501029,0.004364567168302295,14,vision,0.01592120193619122,3.754650886309004e-14,2.815988164731753e-13,True
16,1.1,0.029778687920945447,0.004773172742668586,14,vision,0.017690836291252572,3.33131074462371e-23,3.7477245877016735e-22,True
17,1.2,0.02970176548053067,0.005189325875479609,14,vision,0.01753826572587015,2.511752133258876e-24,3.767628199888314e-23,True
18,1.3,0.026436038734049736,0.005123569084019876,14,vision,0.01624334003466527,1.4896674683404262e-38,6.703503607531918e-37,True
19,1.4,0.022766680172809504,0.0051520262076345325,14,vision,0.014365387276790318,1.1691336252584273e-24,2.6305506568314613e-23,True
20,1.5,0.018748153538593566,0.005074964937859449,14,vision,0.011481520297451756,1.634445599347917e-14,1.4710010394131254e-13,True
21,1.6,0.01584095603276885,0.0047958245280383,14,vision,0.010021608698300195,1.143429900263273e-11,6.43179318898091e-11,True
22,1.7,0.012400987647433342,0.0037982716508411364,14,vision,0.008766988222355122,1.3691392308622201e-07,3.624192081694112e-07,True
23,1.8,0.010267280777752108,0.0037079937769804853,14,vision,0.008585323515145717,6.45155921059923e-08,1.935467763179769e-07,True
