embedding,bin_index,time_s,mean,sem,count,family
GloVe,9,0.4,0.005442573215523264,0.002212266747452817,14,language
GloVe,10,0.5,0.004453296364175264,0.002316183836249776,14,language
GloVe,11,0.6,0.00032672966403230006,0.0029736679042428812,14,language
GloVe,12,0.7,0.026748105903275386,0.006569534133320287,14,language
GloVe,13,0.8,0.06180365104737228,0.00961862194580937,14,language
GloVe,14,0.9,0.08478600945117966,0.00998948539663652,14,language
GloVe,15,1.0,0.10154604840563494,0.011033802626451981,14,language
GloVe,16,1.1,0.11176795775595219,0.010850619391359286,14,language
GloVe,17,1.2,0.10976633383048721,0.011709600009688865,14,language
GloVe,18,1.3,0.09898842883629677,0.01159216663602405,14,language
GloVe,19,1.4,0.08492322476509447,0.012165317740712068,14,language
GloVe,20,1.5,0.0692317135665033,0.012365863214778805,14,language
GloVe,21,1.6,0.05837226652830082,0.01190690426231745,14,language
GloVe,22,1.7,0.04975123589381307,0.010727673741081566,14,language
GloVe,23,1.8,0.04198295907771242,0.009993568168703613,14,language
GloVe,24,1.9,0.036634874924668805,0.009486380051576598,14,language
GloVe,25,2.0,0.032986122770512896,0.008574069985713684,14,language
GloVe,26,2.1,0.03038257676420168,0.007684279924317073,14,language
GloVe,27,2.2,0.028975807671877185,0.007979631030850445,14,language
GloVe,28,2.3,0.028670330532650636,0.007546419346196744,14,language
GloVe,29,2.4,0.02936104915967535,0.008235667848503336,14,language
GloVe,30,2.5,0.029844224225736314,0.007735397730276815,14,language
GloVe,31,2.6,0.030624446429875527,0.007746627242616392,14,language
GloVe,32,2.7,0.03036294435364429,0.00720441441676134,14,language
GloVe,33,2.8,0.028750574931251393,0.007873980454001889,14,language
GloVe,34,2.9,0.028882827840263574,0.008069203623483406,14,language
GloVe,35,3.0,0.025174460898649505,0.007230207821289864,14,language
GloVe,36,3.1,0.020688906949600627,0.0064312506166022895,14,language
GloVe,37,3.2,0.02012216399779599,0.006582708738512093,14,language
GloVe,38,3.3,0.021761425489359755,0.006374999464873394,14,language
GloVe,39,3.4,0.022619737992092243,0.006333317722118812,14,language
GloVe,40,3.5,0.024632224937637472,0.006307204935691367,14,language
GloVe,41,3.6,0.024125974280987943,0.005125124153093066,14,language
GloVe,42,3.7,0.02221740447644733,0.005606818087442744,14,language
GloVe,43,3.8,0.02395862633976278,0.005419643442449639,14,language
GloVe,44,3.9,0.02492709901892402,0.005642808789024307,14,language
GloVe,45,4.0,0.022243938510371014,0.004841335342826066,14,language
GloVe,46,4.1,0.02063584071321129,0.004793997220633155,13,language
GloVe,47,4.2,0.020999101309879253,0.004097570604199439,13,language
GloVe,48,4.3,0.01955688293457216,0.004022824705010824,13,language
GloVe,49,4.4,0.017026671341512423,0.0035798072722918704,13,language
MoCo,0,-0.5,0.005257276065160137,0.0017831518142555351,14,vision
MoCo,1,-0.4,0.008317180310884237,0.0031671131056964534,14,vision
MoCo,2,-0.3,0.009342089594745471,0.00368048949559383,14,vision
MoCo,3,-0.2,0.008065422344120578,0.0037334459860506337,14,vision
MoCo,4,-0.1,0.007708984239702042,0.003968558371574009,14,vision
MoCo,5,0.0,0.005701454092428471,0.0035607799650869947,14,vision
MoCo,6,0.1,0.005063298114827907,0.003247712273627369,14,vision
MoCo,7,0.2,0.0031545874018702497,0.00316894895559195,14,vision
MoCo,8,0.3,0.0050581749661875435,0.0029925013213261326,14,vision
MoCo,9,0.4,0.005240587047993693,0.003141181500106191,14,vision
MoCo,10,0.5,0.004291420910746757,0.0026330807586485597,14,vision
MoCo,11,0.6,0.004928094669894507,0.00258593197484798,14,vision
MoCo,12,0.7,0.028230670196416625,0.006630694710194997,14,vision
MoCo,13,0.8,0.057046534092336544,0.010457472267835407,14,vision
MoCo,14,0.9,0.07532014053869487,0.010826576729802298,14,vision
MoCo,15,1.0,0.08884924067372735,0.011702026793151377,14,vision
MoCo,16,1.1,0.09663340271868785,0.012208920734522429,14,vision
MoCo,17,1.2,0.09532889818144377,0.013357227013351614,14,vision
MoCo,18,1.3,0.0853314588365094,0.013044213033997016,14,vision
MoCo,19,1.4,0.07176827719992539,0.012740442904477095,14,vision
MoCo,20,1.5,0.05860675624339342,0.01218321517399583,14,vision
MoCo,21,1.6,0.04857636671019559,0.01132147890380382,14,vision
