metric,bin_index,time_s,diff,p_one,q,significant
category,30,2.0,-0.00023029629047485156,0.5259473092999687,0.553628746631546,False
category,31,2.1,0.0016324033059255984,0.3521358373636452,0.40244095698702304,False
category,32,2.2,0.0004390887517643702,0.45275413046381535,0.4894639248257463,False
category,33,2.3,0.0006021113290106671,0.4449239186536049,0.4894639248257463,False
category,34,2.4,0.0028873076415889,0.20789717868527396,0.24458491610032232,False
category,35,2.5,0.004432326210013083,0.11383124103168252,0.15177498804224335,False
category,36,2.6,0.0054760426334145755,0.03431462177291225,0.057191036288187086,False
category,37,2.7,0.005032389551474686,0.0308368421649217,0.05606698575440309,False
category,38,2.8,0.0077576340024013805,0.003025472549868799,0.011001718363159267,True
category,39,2.9,0.004551831568080939,0.03044696791562112,0.05606698575440309,False
category,40,3.0,0.007170159674248635,0.0035276999244464474,0.011758999748154825,True
category,41,3.1,0.009443612134840034,0.00031317044931144947,0.002451808724026804,True
category,42,3.2,0.007898646537521476,3.374743135725363e-05,0.00044996575143004837,True
category,43,3.3,0.005157849086861389,0.010103373271001585,0.028521152329055017,True
category,44,3.4,0.005757205908269294,0.013820774962963028,0.03071283325102895,True
category,45,3.5,0.007302204721872103,0.0006455697828291754,0.0036889701875952884,True
category,46,3.6,0.0057504771140992035,0.018965201039915343,0.039926739031400725,True
category,47,3.7,0.003309477332779294,0.07707476542556531,0.10631002127664181,False
category,48,3.8,0.005215642416989632,3.146731291378038e-08,1.2586925165512152e-06,True
category,49,3.9,0.005936331886308997,0.010974197314663571,0.028521152329055017,True
